Plot #,Plot ID,Female Parent,Female Parent Location,Male Parent,Male Parent Location ,Location Cross (F/M),Line,Block ,Date,Time,Recorder,Photo,Wet Weight of Plot (kg),Length of Plot (m),DNA Sample,Comments,Sample 1 Wet Weight (g),Sample 1 # of Blades,Sample 2 Wet Weight (g),Sample 2 # of Blades,Sample 3 Wet Weight (g),Sample 3 # of Blades,Sample 4 Wet Weight (g),Sample 4 # of Blades,Sample 5 Wet Weight (g),Sample 5 # of Blades,# of Blades (5cm),Density (Blades/m),Sample 6 Wet Weight (g),Sample 6 # of Blades,Sample 7 Wet Weight (g),Sample 7 # of Blades,Sample 8 Wet Weight (g),Sample 8 # of Blades,Sample 9 Wet Weight (g),Sample 9 # of Blades,Sample 10 Wet Weight (g),Sample 10 # of Blades,Total Weight of sub-sample (g),Dry Weight (g),% Dry Weight,Weight per Meter (kg/m),Dry Weight Yield (kg/m),DNA in lab?,Development,Moisture (%),Protein (%),Fat (%),Fiber (%),Ash (%)
16,SL18-UCONN-16,SL18-LD-1-F1,LD,SL18-LD-10-M3,LD,LDxLD,3,9,5/31/19,8:56:00,Liana,Yes,0.6,0.85,Yes,,0,0,0,0,0,0,0.6,1,69.8,4,5,100,59,2,29,1,52.5,2,,,,,210.9,26.51,12.57,0.7058823529,0.08,y,1,,,,,
17,SL18-UCONN-17,SL18-LD-1-F1,LD,SL18-NL-2-M2,NL,LDxNL,3,1,5/30/19,16:34:00,,Yes,1.95,0.87,Yes,,15.45,6,0,0,10.17,2,27.16,7,0.95,2,17,340,68.02,9,,,,,,,,,121.75,10.50,8.62,2.24137931,0.17,y,1,,,,,
18,SL18-UCONN-18,SL18-LD-1-F1,LD,SL18-OI-18-M1,OI,LDxOI,3,1,5/30/19,16:30:00,Liana,Yes,1.9,0.86,Yes,,12.7,2,60.7,5,71.7,8,21.8,2,0,0,17,340,,,,,,,,,,,166.9,16.25,9.74,2.209302326,0.18,y,1,,,,,
19,SL18-UCONN-19,SL18-LD-1-F2,LD,SA18-CB-4-M3,CB,LDxCB,3,3,5/30/19,17:53:00,Simona,Yes,5.14,0.77,Yes,,95,3,17,2,116,3,21,1,0,0,9,180,118,3,,,,,,,,,367,32.70,8.91,6.675324675,0.46,y,1,,,,,
20,SL18-UCONN-20,SL18-LD-1-F2,LD,SL18-SF-13-M3,SF,LDxSF,3,6,5/31/19,7:47:00,Maggie,Yes,2.42,0.84,No,,15.52,4,101.43,5,47.44,3,29.65,4,41.87,3,19,380,,,,,,,,,,,235.91,21.60,9.16,2.880952381,0.22,,1,,,,,
21,SL18-UCONN-21,SL18-LD-1-F2,LD,SL18-SF-15-M1,SF,LDxSF,2,6,5/30/19,,Maggie,Yes,3.66,0.94,Yes,,142.6,4,125.4,4,15,3,90.2,7,17.6,2,20,400,,,,,,,,,,,390.8,28.44,7.28,3.893617021,0.27,y,1,,,,,
22,SL18-UCONN-22,SL18-LD-1-F3,LD,SA18-CB-3-M3,CB,LDxCB,1,7,5/30/19,14:50:00,Meagan,Yes,0.25,0.75,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,64.95,2,2.49,1,11.35,1,32.34,2,10.54,3,121.67,12.21,10.04,0.3333333333,0.03,y,1,,,,,
23,SL18-UCONN-23,SL18-LD-1-F3,LD,SL18-NL-5-M1,NL,LDxNL,4,7,5/31/19,,Mayra,,0.97,0.92,Yes,,14.42,2,0,0,8.23,5,27.5,2,0,0,9,180,10,2,2.63,1,,,,,,,62.78,6.33,10.08,1.054347826,0.10,y,1,,,,,
24,SL18-UCONN-24,SL18-LD-1-F3,LD,SL18-OI-11-M2,OI,LDxOI,2,3,5/29/19,19:15:00,Tricia,Yes,2.65,0.84,Yes,,28,1,72,4,4.5,3,8.6,3,25.4,4,15,300,,,,,,,,,,,138.5,15.67,11.31,3.154761905,0.30,y,1,,,,,
25,SL18-UCONN-25,SL18-LD-1-F3,LD,SL18-OI-15-M1,OI,LDxOI,1,6,5/30/19,14:02:00,,Yes,1.78,0.85,Yes,stipe starting to split,37.6,5,34.19,4,29.2,3,0.71,1,76,1,14,280,,,,,,,,,,,177.7,13.84,7.79,2.094117647,0.14,y,1,,,,,
26,SL18-UCONN-26,SL18-LD-1-F3,LD,SL18-OI-16-M1,OI,LDxOI,4,9,5/31/19,14:27:00,Michelle,Yes,1.3,1,Yes,Length of plot recorded wrong,33.8,5,2.73,2,0,0,0,0,0,0,7,140,13.91,3,50.4,4,31.17,4,,,,,132.01,11.32,8.58,1.3,0.11,y,1,,,,,
27,SL18-UCONN-27,SL18-LD-1-F3,LD,SL18-OI-6-M2,OI,LDxOI,1,6,5/30/19,14:17:00,,Yes,1.57,0.78,Yes,,0,0,59,1,5.44,3,0,0,0,0,4,80,10.44,3,10.74,2,19.33,2,,,,,104.95,10.51,10.01,2.012820513,0.16,y,1,,,,,
28,SL18-UCONN-28,SL18-LD-1-F3,LD,SL18-OI-7-M1,OI,LDxOI,2,7,5/29/19,9:40:00,Simona,Yes,2.21,0.94,Yes,,44.24,2,19.39,4,18.47,6,229,11,0,0,23,460,28,1,,,,,,,,,339.1,28.53,8.41,2.35106383,0.19,y,1,,,,,
29,SL18-UCONN-29,SL18-LD-1-F3,LD,SL18-OI-9-M3,OI,LDxOI,1,7,5/30/19,14:55:00,Simona,Yes,2.2,0.89,Yes,,2,3,16.8,8,31.9,1,11.8,2,22.4,2,16,320,,,,,,,,,,,84.9,7.61,8.96,2.471910112,0.20,y,1,,,,,
30,SL18-UCONN-30,SL18-LD-1-F3,LD,SL18-NL-9-M2,SF,LDxSF,4,8,5/31/19,13:54:00,Schery,,1.03,0.87,No,,0,0,5.3,1,21.63,1,0,0,6.72,1,3,60,25.73,3,29.1,3,,,,,,,88.48,9.73,11.00,1.183908046,0.11,,1,,,,,
31,SL18-UCONN-31,SL18-LD-1-F3,LD,SL18-OI-15-M2,SF,LDxSF,1,1,5/30/19,9:54:00,,Yes,2.47,0.91,Yes,,34.9,2,21.2,2,29.6,5,74.1,8,79.5,3,20,400,,,,,,,,,,,239.3,23.63,9.87,2.714285714,0.24,y,1,,,,,
32,SL18-UCONN-32,SL18-LD-2-F2,LD,SA18-CB-3-M3,CB,LDxCB,2,7,5/29/19,10:29:00,Jill,,3.01,0.89,Yes,,30.1,3,0,0,0,0,157.2,8,0,0,11,220,34.6,2,153.2,4,19,4,,,,,394.1,27.88,7.07,3.382022472,0.21,y,1,,,,,
33,SL18-UCONN-33,SL18-LD-2-F2,LD,SL18-LL-9-M2,LL,LDxLL,2,1,5/29/19,13:49:00,Maggie,,2.5,0.9,Yes,,0,0,0,0,31.6,4,18.6,3,51.9,3,10,200,98.1,10,183.8,12,,,,,,,384,36.46,9.49,2.777777778,0.24,y,1,8.62,9.57,0.07,7,40.32
34,SL18-UCONN-34,SL18-LD-2-F2,LD,SL18-NL-9-M1,NL,LDxNL,3,6,5/31/19,7:59:00,Schery,,0.43,0.71,Yes,,0,0,0,0,0,0,0,0,0,1,1,20,18,1,31.32,2,49.34,1,185,1,2.96,1,286.62,28.14,9.82,0.6056338028,0.04,y,1,,,,,
35,SL18-UCONN-35,SL18-LD-2-F2,LD,SL18-SF-19-M1,SF,LDxSF,1,3,5/30/19,11:00:00,,Yes,1.45,0.91,Yes,,1,1,1,3,51,1,23,4,29,5,14,280,,,,,,,,,,,105,23.86,22.72,1.593406593,0.33,y,1,,,,,
36,SL18-UCONN-36,SL18-LD-3-F1,LD,SA18-CB-10-M1,CB,LDxCB,3,2,5/30/19,16:40:00,Michael,Yes,0.97,0.82,Yes,,0,0,0,0,0,0,0,0,25.55,1,1,20,21.56,2,60.39,1,102.5,1,93.52,2,,,303.52,39.21,12.92,1.182926829,0.13,y,1,,,,,
37,SL18-UCONN-37,SL18-LD-3-F1,LD,SL18-NL-9-M1,NL,LDxNL,4,4,5/31/19,,Mayra,Yes,1.12,0.61,Yes,,55.2,3,21.99,1,0,0,0,0,0,0,4,80,92.01,4,13.03,1,99.3,2,,,,,281.53,21.31,7.57,1.836065574,0.08,y,1,,,,,
38,SL18-UCONN-38,SL18-LD-3-F1,LD,SL18-SF-19-M2,SF,LDxSF,4,9,5/31/19,14:30:00,Maggie,Yes,1.47,0.91,Yes,,0,0,0,0,56,1,56.5,2,48.2,4,7,140,64.1,5,16,1,,,,,,,240.8,37.65,15.64,1.615384615,0.23,y,1,,,,,
39,SL18-UCONN-39,SL18-LD-3-F2,LD,SA18-CB-2-M3,CB,LDxCB,1,4,5/30/19,,,Yes,2.11,0.87,Yes,,74.2,2,31.9,1,62.7,3,1.91,1,12.4,3,10,200,,,,,,,,,,,183.11,15.44,8.43,2.425287356,0.18,y,1,,,,,
40,SL18-UCONN-40,SL18-LD-3-F2,LD,SL18-LL-9-M2,LL,LDxLL,3,5,5/30/19,18:49:00,Schery,Yes,3.07,0.77,Yes,,244.1,22,0,0,26.46,1,0,0,0,0,23,460,3.56,1,5.13,1,14.38,2,,,,,293.63,17.97,6.12,3.987012987,0.19,y,1,,,,,
41,SL18-UCONN-41,SL18-LD-3-F2,LD,SL18-SF-17-M3,SF,LDxSF,2,4,5/29/19,16:58:00,Maggie,Yes,0.95,0.85,No,,0,0,0,0,0,0,0,0,67.9,2,2,40,4.4,1,30.9,4,30.3,1,68.1,3,,,201.6,22.16,10.99,1.117647059,0.10,y,1,,,,,
42,SL18-UCONN-42,SL18-LD-3-F3,LD,SL18-SF-13-M2,SF,LDxSF,1,4,5/30/19,,,Yes,0.11,0.87,No,Only  blades,0,0,0,0,0,0,0,0,0,0,0,0,17,2,7,1,,,,,,,24,3.43,14.29,0.1264367816,0.02,,1,,,,,
43,SL18-UCONN-43,SL18-LD-4-F1,LD,SA18-CB-2-M1,CB,LDxCB,2,9,5/29/19,,Michael,Yes,2.22,0.8,Yes,,25,4,193,3,64,4,64,4,97,4,19,380,,,,,,,,,,,443,36.99,8.35,2.775,0.19,y,1,,,,,
44,SL18-UCONN-44,SL18-LD-4-F1,LD,SL18-NL-3-M2,NL,LDxNL,3,8,5/31/19,8:31:00,Jon,Yes,1.56,0.86,Yes,Partial decaying,44.8,5,2.5,1,28,2,13.86,3,1.37,1,12,240,,,,,,,,,,,90.53,7.99,8.83,1.813953488,0.14,y,1,,,,,
45,SL18-UCONN-45,SL18-LD-4-F2,LD,SL18-LL-9-M1,LL,LDxSF,1,2,5/30/19,10:30:00,,Yes,0.56,0.917,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,23,1,86,3,70,3,22.4,1,3.3,1,204.7,28.80,14.07,0.6106870229,0.08,y,1,,,,,
46,SL18-UCONN-46,SL18-LD-4-F2,LD,SL18-SF-15-M2,SF,,2,2,5/29/19,15:00:00,Maggie,Yes,3.03,0.73,Yes,Split stipe,11.5,2,15,3,15.7,5,0,0,0,0,10,200,123.4,10,22.2,6,,,,,,,187.8,16.74,8.91,4.150684932,0.27,y,1,,,,,
47,SL18-UCONN-47,SL18-LD-4-F3,LD,SL18-SF-17-M1,SF,LDxSF,2,5,5/30/19,8:40:00,Jill,Yes,1.58,0.86,Yes,,0,0,0,0,0,0,5.3,1,0,0,1,20,64.5,2,124.6,1,14,1,75.9,3,,,284.3,29.80,10.48,1.837209302,0.17,y,1,,,,,
48,SL18-UCONN-48,SL18-LD-5-F1,LD,SA18-CB-10-M1,CB,LDxCB,1,4,5/30/19,11:35:00,,Yes,1.22,0.94,Yes,,114.9,1,24.2,1,0,0,0,0,0,0,2,40,38.5,5,52,2,126.1,3,,,,,355.7,36.60,10.29,1.29787234,0.13,y,4,7.55,11.77,0.98,6.01,32.92
49,SL18-UCONN-49,SL18-LD-5-F1,LD,SL18-SF-15-M1,SF,LDxSF,4,7,5/31/19,12:37:00,Jon,Yes,0.96,0.65,Yes,Only six blades total,0,0,0,0,0,0,0,0,0,0,0,0,736.9,5,17,1,,,,,,,753.9,79.75,10.58,1.476923077,0.10,y,1,,,,,
50,SL18-UCONN-50,SL18-LD-5-F2,LD,SL18-LD-3-M2,LD,LDxLD,3,1,5/30/19,16:05:00,Michael,Yes,1.34,0.76,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,130.02,3,39.94,4,13.37,1,39.49,1,17.88,3,240.7,22.37,9.29,1.763157895,0.12,y,1,,,,,
51,SL18-UCONN-51,SL18-LD-9-F2,LD,SL18-SF-13-M3,SF,LDxSF,2,5,5/29/19,20:30:00,Michelle,Yes,1.15,0.86,No,,0,0,0,0,102,2,0,0,0,0,2,40,23.8,1,11.1,1,124.6,5,115.2,6,,,376.7,34.90,9.26,1.337209302,0.11,,1,,,,,
52,SL18-UCONN-52,SL18-LD-9-F3,LD,SA18-CB-2-M1,CB,LDxCB,4,3,5/31/19,10:42:00,Jon,,0.48,0.65,Yes,Only 16 blades total,82.8,0,0,1,0,0,0,0,0,0,1,20,3,82.9,32.9,1,31.2,2,53.4,3,,,203.3,32.52,16.00,0.7384615385,0.08,y,1,,,,,
53,SL18-UCONN-53,SL18-LD-9-F3,LD,SL18-NL-7-M1,NL,LDxNL,3,6,5/30/19,19:43:00,Simona,Yes,1.18,0.71,Yes,,0,0,42,1,0,0,0,0,0,0,1,20,8.8,1,22,3,77,5,48.6,2,,,198.4,19.59,9.87,1.661971831,0.12,y,1,,,,,
54,SL18-UCONN-54,SL18-LD-9-F3,LD,SL18-SF-17-M1,SF,LDxSF,4,7,5/31/19,13:00:00,Jon,Yes,3.21,0.9,Yes,,5.8,2,29.4,4,105.7,6,9.4,1,86.4,4,17,340,,,,,,,,,,,236.7,21.10,8.91,3.566666667,0.29,y,4,,,,,
55,SL18-UCONN-55,SL18-LL-9-F1,LL,SL18-LL-9-M2,LL,LLxLL,3,3,5/30/19,18:30:00,Michael,Yes,0.19,1,No,Plot length recorded wrong,100.53,1,0,0,0,0,0,0,0,0,1,20,,,,,,,,,,,100.53,16.30,16.21,0.19,0.03,,1,,,,,
56,SL18-UCONN-56,SL18-LL-9-F3,LL,SL18-NL-9-M1,NL,LLxNL,1,3,5/30/19,10:55:00,,Yes,0.4,0.73,Yes,,36,3,1,1,37,5,0,0,57.4,2,11,220,34,3,,,,,,,,,165.4,,0.00,0.5479452055,0.00,y,1,,,,,
57,SL18-UCONN-57,SL18-NL-10-F1,NL,SA18-CB-4-M3,CB,NLxCB,3,3,5/30/19,,Michael,,5.76,0.68,Yes,,208,3,210.2,6,169,5,12,2,201.34,8,24,480,,,,,,,,,,,800.54,33.26,4.15,8.470588235,0.24,y,4,,,,,
58,SL18-UCONN-58,SL18-NL-10-F1,NL,SL18-LD-2-M1,LD,NLxLD,2,8,5/29/19,,Tricia,Yes,0.54,0.94,Yes,Low density,0,0,1.58,1,0.1,1,0,0,85,4,6,120,23,4,29,3,,,,,,,138.68,17.11,12.34,0.5744680851,0.07,y,1,,,,,
59,SL18-UCONN-59,SL18-NL-10-F1,NL,SL18-LD-9-M1,LD,NLxLD,3,2,5/30/19,,Michael,Yes,0.22,0.32,No,,0,0,0,0,0,0,0,0,0,0,0,0,27.89,3,6.84,3,1.14,1,16.3,1,56.39,2,108.56,13.98,12.88,0.6875,0.03,,1,,,,,
60,SL18-UCONN-60,SL18-NL-10-F1,NL,SL18-OI-15-M1,OI,NLxOI,1,3,5/30/19,11:23:00,,Yes,4.42,0.93,Yes,,60.3,3,14.6,2,20.3,4,0,0,80.5,4,13,260,21.4,3,,,,,,,,,197.1,16.74,8.49,4.752688172,0.38,y,4,,,,,
62,SL18-UCONN-62,SL18-NL-10-F1,NL,SL18-OI-7-M1,OI,NLxOI,2,4,5/29/19,,Tricia,Yes,4.24,0.89,Yes,,53,8,66,6,4.3,2,17,3,244,10,29,580,,,,,,,,,,,384.3,30.84,8.02,4.764044944,0.34,y,4,,,,,
63,SL18-UCONN-63,SL18-NL-10-F1,NL,SL18-SF-13-M1,SF,NLxSF,4,5,5/31/19,,Maggie,Yes,4.04,0.94,Yes,Hole punches,16.68,4,116.18,10,2.6,1,131.12,4,57.72,2,21,420,,,,,,,,,,,324.3,26.55,8.19,4.29787234,0.33,y,4,,,,,
64,SL18-UCONN-64,SL18-NL-10-F2,NL,SA18-CB-2-M2,CB,NLxCB,4,4,5/31/19,,,,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0.07,0.00,,1,,,,,
65,SL18-UCONN-65,SL18-NL-10-F2,NL,SL18-LD-13-M3,LD,NLxLD,2,1,5/29/19,,,Yes,0.07,0.86,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0.08139534884,0.00,,1,,,,,
66,SL18-UCONN-66,SL18-NL-10-F2,NL,SL18-LL-9-M1,LL,NLxLL,2,7,5/29/19,10:30:00,Jill,,0.07,0.9,No,No growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0.07777777778,0.00,,1,,,,,
67,SL18-UCONN-67,SL18-NL-10-F2,NL,SL18-OI-11-M2,OI,NLxOI,3,3,5/30/19,18:00:00,Schery,Yes,0.1,1,No,Plot length recorded wrong,0,0,0,0,0,0,0,0,0,0,0,0,6.22,1,,,,,,,,,6.22,0.70,11.25,0.1,0.01,,1,,,,,
68,SL18-UCONN-68,SL18-NL-10-F2,NL,SL18-OI-16-M1,OI,NLxOI,4,5,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0.07,0.00,,1,,,,,
69,SL18-UCONN-69,SL18-NL-10-F2,NL,SL18-OI-5-M2,OI,NLxOI,2,6,5/30/19,,,Yes,0.09,0.86,No,No growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0.1046511628,0.00,,1,,,,,
70,SL18-UCONN-70,SL18-NL-10-F2,NL,SL18-OI-9-M3,OI,NLxOI,4,5,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0.07,0.00,,1,,,,,
71,SL18-UCONN-71,SL18-NL-10-F2,NL,SL18-SF-17-M2,SF,NLxSF,1,2,5/30/19,10:36:00,,Yes,0.06,0.75,Yes,"very sparse, only 4 blades",0,0,0,0,0,0,0,0,0,0,0,0,0.4,2,4.8,1,,,,,,,5.2,0.46,8.85,0.08,0.01,y,1,,,,,
72,SL18-UCONN-72,SL18-NL-10-F3,NL,SL18-NL-3-M2,NL,NLxNL,1,7,5/30/19,15:50:00,,Yes,0.43,0.91,Yes,,0,0,0,0,7.6,2,0.5,3,0,0,5,100,13.2,13,4.2,3,15.6,2,,,,,41.1,4.11,10.00,0.4725274725,0.04,y,4,,,,,
73,SL18-UCONN-73,SL18-NL-2-F1,NL,SA18-CB-1-M2,CB,NLxCB,2,9,5/29/19,,Michael,,4.54,0.93,Yes,,58,2,36.5,2,40,4,90.9,5,25.8,3,16,320,,,,,,,,,,,251.2,20.75,8.26,4.88172043,0.38,y,1,,,,,
74,SL18-UCONN-74,SL18-NL-2-F1,NL,SL18-LD-10-M1,LD,NLxLD,4,8,5/31/19,,,No,0.07,1,No,No kelp growth,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,,,0.07,0.00,,1,,,,,
75,SL18-UCONN-75,SL18-NL-2-F1,NL,SL18-LD-13-M2,LD,NLxLD,3,7,5/31/19,8:07:00,Simona,Yes,3.27,0.86,Yes,,2.1,3,64,6,20.8,5,13,3,116,9,26,520,,,,,,,,,,,215.9,20.22,9.37,3.802325581,0.31,y,4,,,,,
76,SL18-UCONN-76,SL18-NL-2-F1,NL,SL18-SF-17-M1,SF,NLxSF,3,2,5/30/19,17:30:00,Simona,Yes,3.54,0.88,Yes,,58.7,2,29,3,1,1,3.5,1,23,4,11,220,,,,,,,,,,,115.2,13.72,11.91,4.022727273,0.42,y,4,,,,,
77,SL18-UCONN-77,SL18-NL-2-F3,NL,SA18-CB-2-M3,CB,NLxCB,4,1,5/31/19,,Schery,,1.78,0.89,Yes,,3.13,2,18.55,2,0,0,21.83,2,0,0,6,120,6.4,1,54.67,3,,,,,,,104.58,10.09,9.65,2,0.17,y,1,,,,,
78,SL18-UCONN-78,SL18-NL-2-F3,NL,SA18-CB-4-M1,CB,NLxCB,2,3,5/29/19,,Simona,Yes,1.28,0.82,Yes,Lots of ripe sorus!,49.6,2,0,0,0,0,0,0,0,0,2,40,56,4,28,6,34,2,36,3,,,203.6,15.83,7.78,1.56097561,0.10,y,1,,,,,
79,SL18-UCONN-79,SL18-NL-2-F3,NL,SL18-LD-3-M2,LD,NLxLD,4,4,5/31/19,11:43:00,Simona,Yes,1.31,0.73,Yes,,0,0,0,0,0,0,0,0,0,0,0,0,23.8,4,20.6,4,49.7,4,29,5,52.8,6,175.9,16.50,9.38,1.794520548,0.12,y,1,,,,,
80,SL18-UCONN-80,SL18-NL-2-F3,NL,SL18-OI-16-M1,OI,NLxOI,4,3,5/31/19,11:04:00,Maggie,Yes,3.58,0.84,Yes,,6.05,2,42.8,5,28.53,3,0,0,21.07,4,14,280,65.44,5,,,,,,,,,163.89,13.88,8.47,4.261904762,0.30,y,4,,,,,
81,SL18-UCONN-81,SL18-NL-2-F3,NL,SL18-SF-15-M1,SF,NLxSF,3,8,5/31/19,,Mayra,Yes,0.19,0.91,No,One blade only,0,0,0,0,0,0,0,0,0,0,0,0,14.12,1,,,,,,,,,14.12,1.55,10.98,0.2087912088,0.02,,1,,,,,
82,SL18-UCONN-82,SL18-NL-3-F1,NL,SA18-CB-7-M2,CB,NLxCB,3,3,5/30/19,17:43:00,Liana,Yes,4.7,0.95,Yes,,3.3,2,25,3,0,0,4.5,2,71.8,5,12,240,67.5,5,,,,,,,,,172.1,15.61,9.07,4.947368421,0.43,y,4,,,,,
