plotNo,PlotNo_Numeric,Order_readin,Order_In_Plot,crossID,Region,Year,bladeLength,bladeMaxWidth,bladeThickness,stipeLength,stipeDiameter,stipeHollow,bullations,fouling
2,2,26,2,SL18-UCONN-2,GOM,2019,124.5,5.2,0.3,6.5,2.3,No,No,No
3,3,27,3,SL18-UCONN-3,GOM,2019,32.1,2.4,0.4,2.6,1.3,No,No,Yes
3,3,28,3,SL18-UCONN-3,GOM,2019,37.8,2.7,0.4,3.1,1.3,No,No,Yes
3,3,29,3,SL18-UCONN-3,GOM,2019,48.5,3.2,0.4,1.9,1.6,No,No,Yes
3,3,30,3,SL18-UCONN-3,GOM,2019,50,2.3,0.5,3,1.56,No,No,No
3,3,31,3,SL18-UCONN-3,GOM,2019,61.2,2.8,0.4,2.7,1.4,No,No,Yes
3,3,32,3,SL18-UCONN-3,GOM,2019,90.8,3.2,0.5,4.9,1.6,No,No,No
3,3,33,3,SL18-UCONN-3,GOM,2019,96.5,3.1,0.56,3.2,2.21,No,No,No
3,3,34,3,SL18-UCONN-3,GOM,2019,105.5,3.8,0.58,3.2,1.94,No,No,No
3,3,35,3,SL18-UCONN-3,GOM,2019,124,3.2,0.73,3.4,1.9,No,No,No
3,3,36,3,SL18-UCONN-3,GOM,2019,125,3.4,0.49,3.2,1.7,No,No,No
3,3,37,3,SL18-UCONN-3,GOM,2019,126.7,5.2,0.6,2.3,2,No,No,Yes
3,3,38,3,SL18-UCONN-3,GOM,2019,128,4,0.66,3.6,2.09,No,No,No
3,3,39,3,SL18-UCONN-3,GOM,2019,129,3.6,0.72,4.5,2.11,No,No,No
3,3,40,3,SL18-UCONN-3,GOM,2019,179,3.4,0.76,4.3,1.95,No,No,No
3,3,41,3,SL18-UCONN-3,GOM,2019,187.7,4.6,0.7,3.7,1.9,No,No,Yes
4,4,42,4,SL18-UCONN-4,GOM,2019,12.2,1.9,0.3,2.6,1.2,No,No,Yes
4,4,43,4,SL18-UCONN-4,GOM,2019,23.3,1.8,0.3,2.1,0.7,No,No,Yes
4,4,44,4,SL18-UCONN-4,GOM,2019,31.4,2,0.5,1.9,1.2,No,No,
4,4,45,4,SL18-UCONN-4,GOM,2019,34.1,2,0.4,3.1,1.3,No,No,Yes
4,4,46,4,SL18-UCONN-4,GOM,2019,35.9,2.6,0.6,7.5,2.1,No,No,
4,4,47,4,SL18-UCONN-4,GOM,2019,40,2.3,0.7,3.9,1.5,No,No,Yes
4,4,48,4,SL18-UCONN-4,GOM,2019,41.2,1.8,0.4,3.5,1.3,No,No,Yes
4,4,49,4,SL18-UCONN-4,GOM,2019,75.1,3.1,0.7,7.9,2.2,No,No,Yes
4,4,50,4,SL18-UCONN-4,GOM,2019,81.9,3.4,0.6,4.3,1.4,No,No,
4,4,51,4,SL18-UCONN-4,GOM,2019,118.2,3.1,0.9,4.9,2.3,No,No,
4,4,52,4,SL18-UCONN-4,GOM,2019,126.9,4.1,0.9,5.2,2.4,No,No,
4,4,53,4,SL18-UCONN-4,GOM,2019,127,3.9,0.8,8.8,2.6,No,No,
4,4,54,4,SL18-UCONN-4,GOM,2019,130.9,3.9,0.11,5.9,2.9,No,No,
4,4,55,4,SL18-UCONN-4,GOM,2019,174.8,3.8,0.12,8.1,2.6,No,No,
4,4,56,4,SL18-UCONN-4,GOM,2019,188.2,6.1,1,5.5,2.7,No,No,
5,5,57,5,SL18-UCONN-5,GOM,2019,32.5,4,0.3,6,2.1,No,No,No
5,5,58,5,SL18-UCONN-5,GOM,2019,48,5.2,0.5,4.5,1.9,No,No,No
5,5,59,5,SL18-UCONN-5,GOM,2019,48.5,6.5,0.3,9.5,3.5,No,No,Yes
5,5,60,5,SL18-UCONN-5,GOM,2019,73.3,7.8,0.5,10,3,No,No,No
5,5,61,5,SL18-UCONN-5,GOM,2019,91,10.1,0.5,21.5,3.5,No,No,No
5,5,62,5,SL18-UCONN-5,GOM,2019,98,8.6,0.6,24.1,5,Yes,No,No
5,5,63,5,SL18-UCONN-5,GOM,2019,103.5,10.2,0.7,17,4.2,No,No,No
5,5,64,5,SL18-UCONN-5,GOM,2019,107,10.6,0.5,21.5,5,No,No,No
5,5,65,5,SL18-UCONN-5,GOM,2019,123,11.6,0.4,19.7,4.5,Yes,No,No
5,5,66,5,SL18-UCONN-5,GOM,2019,137.5,13.6,0.3,11.5,4.2,No,No,No
5,5,67,5,SL18-UCONN-5,GOM,2019,151,9.5,0.5,30,6.4,Yes,No,No
5,5,68,5,SL18-UCONN-5,GOM,2019,160,11.5,0.3,26,5.7,Yes,No,No
5,5,69,5,SL18-UCONN-5,GOM,2019,164,14.5,0.3,22.5,4.8,Yes,No,No
5,5,70,5,SL18-UCONN-5,GOM,2019,164,9.6,0.6,37,4.3,Yes,No,No
5,5,71,5,SL18-UCONN-5,GOM,2019,189,9,0.3,31,4.8,Yes,No,No
5,5,72,5,SL18-UCONN-5,GOM,2019,209,11.5,0.4,26,5.2,Yes,No,No
5,5,73,5,SL18-UCONN-5,GOM,2019,236.5,17,0.3,22.5,6.4,Yes,No,No
5,5,74,5,SL18-UCONN-5,GOM,2019,258.5,12.6,0.8,20,4.7,No,No,No
6,6,75,6,SL18-UCONN-6,GOM,2019,20.2,2.5,0.1,2.2,1.1,No,No,No
6,6,76,6,SL18-UCONN-6,GOM,2019,21.3,2.6,0.1,2,0.8,No,No,No
6,6,77,6,SL18-UCONN-6,GOM,2019,23.5,2.9,0.2,3.8,1.4,No,No,No
6,6,78,6,SL18-UCONN-6,GOM,2019,51.6,4.5,0.3,8.7,2.6,No,No,No
6,6,79,6,SL18-UCONN-6,GOM,2019,54.5,4.9,0.5,8.1,2.5,No,No,No
6,6,80,6,SL18-UCONN-6,GOM,2019,66.6,4.9,0.4,7.7,2.4,No,No,No
6,6,81,6,SL18-UCONN-6,GOM,2019,74.4,4.8,0.3,11.5,2.9,No,No,No
6,6,82,6,SL18-UCONN-6,GOM,2019,80.4,7.1,0.3,7.2,2.6,No,No,No
6,6,83,6,SL18-UCONN-6,GOM,2019,119,7.7,0.3,9.5,3.2,No,No,No
6,6,84,6,SL18-UCONN-6,GOM,2019,125,8.8,0.4,7.5,2.6,No,No,No
6,6,85,6,SL18-UCONN-6,GOM,2019,129.2,8.9,0.4,14.4,3.2,No,No,No
6,6,86,6,SL18-UCONN-6,GOM,2019,129.3,8,0.4,12.1,3.6,No,No,No
6,6,87,6,SL18-UCONN-6,GOM,2019,139.9,7.8,0.3,17,3.5,No,No,No
6,6,88,6,SL18-UCONN-6,GOM,2019,152.5,7.5,0.4,13.9,3.9,No,No,No
6,6,89,6,SL18-UCONN-6,GOM,2019,155.9,10.2,0.5,10.9,3.6,No,No,No
8,8,90,8,SL18-UCONN-8,GOM,2019,19,6.9,0.11,1.5,1.11,No,No,No
8,8,91,8,SL18-UCONN-8,GOM,2019,23.5,6,0.2,1.5,0.86,No,No,No
8,8,92,8,SL18-UCONN-8,GOM,2019,29.2,8.5,0.2,1.5,1.16,No,No,No
8,8,93,8,SL18-UCONN-8,GOM,2019,30.7,10.7,0.12,25,1.76,No,No,No
8,8,94,8,SL18-UCONN-8,GOM,2019,31.6,8.2,0.3,2,1.35,No,No,No
8,8,95,8,SL18-UCONN-8,GOM,2019,32.5,6.3,0.3,2.5,1.32,No,No,No
8,8,96,8,SL18-UCONN-8,GOM,2019,35.6,9.5,0.2,3.5,2.04,No,No,No
8,8,97,8,SL18-UCONN-8,GOM,2019,40,3.8,0.22,4.5,1.61,No,No,No
8,8,98,8,SL18-UCONN-8,GOM,2019,40.5,7.3,0.26,3.5,2.03,No,No,No
8,8,99,8,SL18-UCONN-8,GOM,2019,44,7.8,0.35,2.7,2.4,No,No,No
8,8,100,8,SL18-UCONN-8,GOM,2019,54.6,12,0.4,5.3,2.8,No,No,No
8,8,101,8,SL18-UCONN-8,GOM,2019,60.1,17.9,0.4,6.1,3,No,Yes,No
8,8,102,8,SL18-UCONN-8,GOM,2019,68.7,17.2,0.5,6.4,3,No,No,No
8,8,103,8,SL18-UCONN-8,GOM,2019,70,11,0.35,9,3.56,No,No,No
8,8,104,8,SL18-UCONN-8,GOM,2019,81.5,16,0.5,11.5,3.21,No,No,No
8,8,105,8,SL18-UCONN-8,GOM,2019,86.9,21.2,0.13,12,4.12,No,No,No
8,8,106,8,SL18-UCONN-8,GOM,2019,90.8,17,0.5,11,3.76,No,No,No
8,8,107,8,SL18-UCONN-8,GOM,2019,91.3,16.1,0.6,9.8,3.7,No,No,No
8,8,108,8,SL18-UCONN-8,GOM,2019,95,21.9,0.5,8.1,3.6,No,Yes,No
8,8,109,8,SL18-UCONN-8,GOM,2019,95.5,20.7,0.6,13.4,4.2,No,No,No
8,8,110,8,SL18-UCONN-8,GOM,2019,100.4,22.4,0.7,14.6,4.4,No,No,Yes
8,8,111,8,SL18-UCONN-8,GOM,2019,102,23,0.46,16,3.81,No,No,No
8,8,112,8,SL18-UCONN-8,GOM,2019,132.5,28.8,0.5,10.5,4.1,No,No,No
9,9,113,9,SL18-UCONN-9,GOM,2019,17.5,6.5,0.3,1.5,1.2,No,No,No
9,9,114,9,SL18-UCONN-9,GOM,2019,26,6,0.5,2.5,1.5,No,No,No
9,9,115,9,SL18-UCONN-9,GOM,2019,32.2,9.8,0.4,2,2.2,No,Yes,Yes
9,9,116,9,SL18-UCONN-9,GOM,2019,36.5,9.5,0.3,1.6,1.3,No,Yes,Yes
9,9,117,9,SL18-UCONN-9,GOM,2019,46.5,11.6,0.4,2.4,1.7,No,Yes,No
9,9,118,9,SL18-UCONN-9,GOM,2019,49,13,0.5,3.8,2.4,No,Yes,No
9,9,119,9,SL18-UCONN-9,GOM,2019,52,13.5,0.2,2.5,2.1,No,Yes,No
9,9,120,9,SL18-UCONN-9,GOM,2019,62.5,12,0.4,4,3,No,Yes,No
9,9,121,9,SL18-UCONN-9,GOM,2019,71.5,12.5,0.3,3.5,3.5,No,Yes,No
9,9,122,9,SL18-UCONN-9,GOM,2019,76,15,0.2,6.5,3,No,No,No
9,9,123,9,SL18-UCONN-9,GOM,2019,81,20.6,0.3,4,3.4,No,No,No
9,9,124,9,SL18-UCONN-9,GOM,2019,87,20,0.5,5,3.2,No,Yes,Yes
9,9,125,9,SL18-UCONN-9,GOM,2019,88,21.3,0.7,6,3.3,No,No,No
9,9,126,9,SL18-UCONN-9,GOM,2019,98.5,27,0.2,7,4,No,Yes,No
9,9,127,9,SL18-UCONN-9,GOM,2019,103,26.8,0.3,6.5,3.6,No,Yes,No
10,10,128,10,SL18-UCONN-10,GOM,2019,21.7,5,0.3,5.6,2.1,No,No,Yes
10,10,129,10,SL18-UCONN-10,GOM,2019,24.2,6.2,0.2,4.2,2.1,No,No,Yes
10,10,130,10,SL18-UCONN-10,GOM,2019,28,6,0.2,4.9,2.3,No,No,No
10,10,131,10,SL18-UCONN-10,GOM,2019,29.2,7.3,0.3,4.4,2.5,Yes,No,Yes
10,10,132,10,SL18-UCONN-10,GOM,2019,31.2,6.7,0.2,5.9,3,No,No,Yes
10,10,133,10,SL18-UCONN-10,GOM,2019,41,7.6,0.2,7.6,2.8,No,No,Yes
10,10,134,10,SL18-UCONN-10,GOM,2019,42.7,6.1,0.3,14,2.9,No,No,No
10,10,135,10,SL18-UCONN-10,GOM,2019,45,7.7,0.3,7.4,3.1,No,No,No
10,10,136,10,SL18-UCONN-10,GOM,2019,46.3,9.1,0.3,14.5,3.6,No,No,Yes
10,10,137,10,SL18-UCONN-10,GOM,2019,47.6,9.2,0.3,9.5,3.5,No,No,Yes
10,10,138,10,SL18-UCONN-10,GOM,2019,54.2,9.2,0.2,15.8,3.9,No,No,Yes
10,10,139,10,SL18-UCONN-10,GOM,2019,55.4,20,0.4,13.8,4.6,No,No,Yes
10,10,140,10,SL18-UCONN-10,GOM,2019,71.9,11.9,0.2,14.6,3.5,No,No,No
10,10,141,10,SL18-UCONN-10,GOM,2019,77.5,13.3,0.2,12,4.3,No,No,No
10,10,142,10,SL18-UCONN-10,GOM,2019,95,20.3,0.5,19.9,4.6,No,No,No
11,11,143,11,SL18-UCONN-11,GOM,2019,13.6,1.8,0.3,2,1.4,No,No,No
11,11,144,11,SL18-UCONN-11,GOM,2019,28.6,2.7,0.5,6.3,2.2,No,No,No
11,11,145,11,SL18-UCONN-11,GOM,2019,40.2,3,0.5,9.2,2.9,No,No,No
11,11,146,11,SL18-UCONN-11,GOM,2019,43,2.9,0.5,10.2,3.3,No,No,No
11,11,147,11,SL18-UCONN-11,GOM,2019,46.7,4.1,0.5,10.9,3,No,No,Yes
11,11,148,11,SL18-UCONN-11,GOM,2019,60.8,4.2,0.7,19.5,3.8,No,No,No
11,11,149,11,SL18-UCONN-11,GOM,2019,69,4,0.53,14,3.65,No,No,
11,11,150,11,SL18-UCONN-11,GOM,2019,77,4.2,0.57,22,3.34,No,No,
11,11,151,11,SL18-UCONN-11,GOM,2019,84.3,6.3,0.7,17.1,4.2,No,No,No
11,11,152,11,SL18-UCONN-11,GOM,2019,86.2,4.5,0.7,24.2,4.3,No,No,No
11,11,153,11,SL18-UCONN-11,GOM,2019,86.3,5.5,0.7,22.6,4.2,No,No,No
11,11,154,11,SL18-UCONN-11,GOM,2019,89,7.1,0.8,22.9,4.4,No,No,No
11,11,155,11,SL18-UCONN-11,GOM,2019,93.1,6,0.7,19.4,4.6,No,No,Yes
11,11,156,11,SL18-UCONN-11,GOM,2019,105.5,5.3,0.8,28.7,4.4,No,No,
11,11,157,11,SL18-UCONN-11,GOM,2019,106,4.8,0.8,26.5,4.3,No,No,No
11,11,158,11,SL18-UCONN-11,GOM,2019,120,5,0.7,27,3.87,Yes,No,
11,11,159,11,SL18-UCONN-11,GOM,2019,131,6,0.73,24,4.34,Yes,No,
11,11,160,11,SL18-UCONN-11,GOM,2019,131.4,5,0.78,23,4.2,No,No,
11,11,161,11,SL18-UCONN-11,GOM,2019,153.8,5.9,0.9,19.8,5.3,No,No,
12,12,162,12,SL18-UCONN-12,GOM,2019,11,1.5,0.4,0.8,0.9,No,No,No
12,12,163,12,SL18-UCONN-12,GOM,2019,11.5,2.4,0.4,1,0.9,No,No,No
12,12,164,12,SL18-UCONN-12,GOM,2019,15.5,2.4,0.3,1,1.2,No,No,No
12,12,165,12,SL18-UCONN-12,GOM,2019,16,2.5,0.3,1.5,1.2,No,No,Yes
12,12,166,12,SL18-UCONN-12,GOM,2019,19,3,0.4,2,1.4,No,No,No
12,12,167,12,SL18-UCONN-12,GOM,2019,19.5,3,0.3,3,1.5,No,No,Yes
12,12,168,12,SL18-UCONN-12,GOM,2019,19.5,2.5,0.3,6.5,2.8,No,No,No
12,12,169,12,SL18-UCONN-12,GOM,2019,22,3.5,0.5,2.5,1.9,No,No,No
12,12,170,12,SL18-UCONN-12,GOM,2019,27,4,0.5,3,2.2,No,No,Yes
12,12,171,12,SL18-UCONN-12,GOM,2019,30,5,0.5,3.5,2,No,No,No
12,12,172,12,SL18-UCONN-12,GOM,2019,35,4.6,0.5,4,2.4,No,No,No
12,12,173,12,SL18-UCONN-12,GOM,2019,37.5,5,0.3,6.5,3,No,No,No
12,12,174,12,SL18-UCONN-12,GOM,2019,38.5,4.5,0.4,4,2.3,No,No,No
12,12,175,12,SL18-UCONN-12,GOM,2019,41.5,5,0.4,6.5,2.8,No,No,No
12,12,176,12,SL18-UCONN-12,GOM,2019,87,9.5,0.7,9,3.8,No,No,No
13,13,177,13,SL18-UCONN-13,GOM,2019,8.6,7.9,0.3,3.5,2.5,No,No,Yes
13,13,178,13,SL18-UCONN-13,GOM,2019,14.9,4.4,0.3,2.7,1.7,No,No,Yes
13,13,179,13,SL18-UCONN-13,GOM,2019,17,8.5,0.7,4,2.43,No,No,No
13,13,180,13,SL18-UCONN-13,GOM,2019,22,7,0.14,4.5,2.21,No,No,No
13,13,181,13,SL18-UCONN-13,GOM,2019,26,11.5,0.07,11,3.39,No,No,Yes
13,13,182,13,SL18-UCONN-13,GOM,2019,28,10.5,0.29,7,3.07,No,No,No
13,13,183,13,SL18-UCONN-13,GOM,2019,28.4,13,0.5,11,4,No,No,No
13,13,184,13,SL18-UCONN-13,GOM,2019,41,17.5,0.17,15.5,4.43,No,No,No
13,13,185,13,SL18-UCONN-13,GOM,2019,42.6,15.2,0.3,16.9,4.5,Yes,No,No
13,13,186,13,SL18-UCONN-13,GOM,2019,44.5,13,0.5,14,3.76,No,No,No
13,13,187,13,SL18-UCONN-13,GOM,2019,48.1,12.4,0.7,5,2.9,No,No,No
13,13,188,13,SL18-UCONN-13,GOM,2019,79,13.5,0.17,13,4.15,No,Yes,No
13,13,189,13,SL18-UCONN-13,GOM,2019,84.4,20.5,0.6,11.9,4.5,No,Yes,No
13,13,190,13,SL18-UCONN-13,GOM,2019,84.7,20.6,0.7,11.7,4.3,No,Yes,No
13,13,191,13,SL18-UCONN-13,GOM,2019,86.7,17.5,0.6,10.4,4.2,No,Yes,No
14,14,192,14,SL18-UCONN-14,GOM,2019,8,2.2,0.3,2.5,1.7,No,No,No
14,14,193,14,SL18-UCONN-14,GOM,2019,16,4.6,0.4,2.9,1.6,No,No,No
14,14,194,14,SL18-UCONN-14,GOM,2019,18,4.2,0.3,4.7,2.6,No,No,No
14,14,195,14,SL18-UCONN-14,GOM,2019,20,2.9,0.3,4.5,2.4,No,No,No
14,14,196,14,SL18-UCONN-14,GOM,2019,20,2.4,0.4,8.6,2.6,No,No,No
14,14,197,14,SL18-UCONN-14,GOM,2019,21,3.2,0.3,7.5,2.2,No,No,No
14,14,198,14,SL18-UCONN-14,GOM,2019,25,4.7,0.4,12.5,3.4,No,No,No
14,14,199,14,SL18-UCONN-14,GOM,2019,33.5,5.5,0.4,17.5,2.7,No,No,No
14,14,200,14,SL18-UCONN-14,GOM,2019,38,9,0.4,17.3,4.2,No,No,No
14,14,201,14,SL18-UCONN-14,GOM,2019,48.5,10.2,0.5,16,3.9,No,No,No
14,14,202,14,SL18-UCONN-14,GOM,2019,48.5,8.8,0.5,30.5,4,No,No,No
14,14,203,14,SL18-UCONN-14,GOM,2019,49.5,10.9,0.3,18.4,4.3,No,No,No
14,14,204,14,SL18-UCONN-14,GOM,2019,57,10.8,0.4,22.5,4.6,Yes,No,No
14,14,205,14,SL18-UCONN-14,GOM,2019,94,17.7,0.4,19,4.3,Yes,No,No
14,14,206,14,SL18-UCONN-14,GOM,2019,97,17.4,0.4,15,5.1,Yes,No,No
15,15,207,15,SL18-UCONN-15,GOM,2019,6.5,1.75,0.23,1.38,2,No,No,No
15,15,208,15,SL18-UCONN-15,GOM,2019,8,10,0.15,2,1.27,No,No,No
15,15,209,15,SL18-UCONN-15,GOM,2019,8.6,2.2,0.3,2.2,0.9,No,No,No
15,15,210,15,SL18-UCONN-15,GOM,2019,15,2.5,0.6,1,0.54,No,No,No
15,15,211,15,SL18-UCONN-15,GOM,2019,21.5,3.9,0.3,2.5,1.3,No,No,No
15,15,212,15,SL18-UCONN-15,GOM,2019,21.7,3.1,0.2,4.2,1.3,No,No,No
15,15,213,15,SL18-UCONN-15,GOM,2019,27.6,4.7,0.3,3.8,1.5,No,No,No
15,15,214,15,SL18-UCONN-15,GOM,2019,46.6,7.1,0.4,5.6,2.7,No,No,No
15,15,215,15,SL18-UCONN-15,GOM,2019,74.5,8.6,0.6,9.6,2.6,No,No,No
15,15,216,15,SL18-UCONN-15,GOM,2019,82.3,9.4,0.4,8.5,3.1,No,No,No
15,15,217,15,SL18-UCONN-15,GOM,2019,89,11.5,0.11,11.5,3.86,No,No,No
15,15,218,15,SL18-UCONN-15,GOM,2019,95.8,13.4,0.5,10,3.2,No,No,No
15,15,219,15,SL18-UCONN-15,GOM,2019,127,16,0.8,10,3.35,No,No,No
15,15,220,15,SL18-UCONN-15,GOM,2019,133,17,0.74,10.5,4.1,No,No,No
16,16,221,16,SL18-UCONN-16,GOM,2019,10,2.5,0.3,1.1,0.7,No,No,No
16,16,222,16,SL18-UCONN-16,GOM,2019,11,4.7,0.3,2.3,1.3,No,No,No
16,16,223,16,SL18-UCONN-16,GOM,2019,21,6,0.2,2.5,1.8,No,No,No
16,16,224,16,SL18-UCONN-16,GOM,2019,22,7.6,0.3,5.1,2.2,No,No,No
16,16,225,16,SL18-UCONN-16,GOM,2019,40.5,15,0.3,11.2,3.7,No,No,No
16,16,226,16,SL18-UCONN-16,GOM,2019,42,14.9,0.2,8.5,3.8,No,No,No
16,16,227,16,SL18-UCONN-16,GOM,2019,46.5,14.8,0.3,10,3.6,No,No,No
16,16,228,16,SL18-UCONN-16,GOM,2019,48.5,18,0.2,9.1,3.7,No,No,No
16,16,229,16,SL18-UCONN-16,GOM,2019,49,14,0.4,16,3.7,No,No,No
16,16,230,16,SL18-UCONN-16,GOM,2019,53,18.7,0.2,12.5,4.3,No,No,No
16,16,231,16,SL18-UCONN-16,GOM,2019,56,17.5,0.1,12.1,4,No,No,No
16,16,232,16,SL18-UCONN-16,GOM,2019,63,15.9,0.4,15,4.4,No,No,No
16,16,233,16,SL18-UCONN-16,GOM,2019,63.2,18.7,0.2,25.5,4.4,Yes,No,No
16,16,234,16,SL18-UCONN-16,GOM,2019,63.5,26.5,0.2,11.1,4.3,No,No,No
16,16,235,16,SL18-UCONN-16,GOM,2019,63.5,17.4,0.3,22.2,4.2,Yes,No,No
17,17,236,17,SL18-UCONN-17,GOM,2019,9.5,1.1,0.1,1.1,0.9,No,No,No
17,17,237,17,SL18-UCONN-17,GOM,2019,11.8,1.9,0.2,1.6,0.9,No,No,No
17,17,238,17,SL18-UCONN-17,GOM,2019,16.9,1.3,0.4,2.4,1.1,No,No,Yes
17,17,239,17,SL18-UCONN-17,GOM,2019,17.3,2,0.2,2.8,1.4,No,No,No
17,17,240,17,SL18-UCONN-17,GOM,2019,18.7,2.1,0.3,3.5,1.7,No,No,No
17,17,241,17,SL18-UCONN-17,GOM,2019,20.3,3.3,0.19,3,1.12,No,No,No
17,17,242,17,SL18-UCONN-17,GOM,2019,22.1,2.4,0.25,5,2.26,No,No,No
17,17,243,17,SL18-UCONN-17,GOM,2019,27,4.4,0.29,4.6,1.67,No,No,No
17,17,244,17,SL18-UCONN-17,GOM,2019,29,4.6,0.28,4.5,1.93,No,No,No
17,17,245,17,SL18-UCONN-17,GOM,2019,29.8,5.5,0.5,6.4,0.8,No,No,No
17,17,246,17,SL18-UCONN-17,GOM,2019,30.6,4.2,0.38,7,2.33,No,No,No
17,17,247,17,SL18-UCONN-17,GOM,2019,36.5,5.4,0.5,6.3,2.3,No,No,No
17,17,248,17,SL18-UCONN-17,GOM,2019,52.3,7.1,0.6,15.9,4.1,No,No,No
17,17,249,17,SL18-UCONN-17,GOM,2019,56,8.2,0.47,16.9,3.71,No,No,No
17,17,250,17,SL18-UCONN-17,GOM,2019,58.5,8.9,0.53,16,3.74,No,No,No
18,18,251,18,SL18-UCONN-18,GOM,2019,9,2.2,0.2,1.5,0.9,No,No,No
18,18,252,18,SL18-UCONN-18,GOM,2019,9,2.6,0.3,1.6,1.4,No,No,No
18,18,253,18,SL18-UCONN-18,GOM,2019,9,3.6,0.3,2,1.4,No,No,No
18,18,254,18,SL18-UCONN-18,GOM,2019,13,4,0.3,2.2,1.5,No,No,No
18,18,255,18,SL18-UCONN-18,GOM,2019,17,4.6,0.3,4.5,3,No,No,No
18,18,256,18,SL18-UCONN-18,GOM,2019,26.5,6.6,0.3,5.5,2.8,No,No,No
18,18,257,18,SL18-UCONN-18,GOM,2019,30.5,7,0.3,4.2,2.7,No,Yes,No
18,18,258,18,SL18-UCONN-18,GOM,2019,31,6.3,0.4,5.2,2.9,No,No,No
18,18,259,18,SL18-UCONN-18,GOM,2019,32,5.6,0.4,5,2.8,No,No,No
18,18,260,18,SL18-UCONN-18,GOM,2019,37,8.4,0.4,5.6,3.3,No,No,No
18,18,261,18,SL18-UCONN-18,GOM,2019,41,9,0.3,4.6,3.1,No,Yes,No
18,18,262,18,SL18-UCONN-18,GOM,2019,57,10.4,0.4,10.6,4.1,No,Y,No
18,18,263,18,SL18-UCONN-18,GOM,2019,59,11.9,0.4,12,4.7,No,No,No
18,18,264,18,SL18-UCONN-18,GOM,2019,77.3,14.5,0.5,14.4,4.9,No,Yes,No
18,18,265,18,SL18-UCONN-18,GOM,2019,82,16.8,0.6,10.5,4.8,No,Yes,No
19,19,266,19,SL18-UCONN-19,GOM,2019,29,2.7,0.3,6,2.1,No,No,No
19,19,267,19,SL18-UCONN-19,GOM,2019,32,5,0.2,7.5,2.4,No,No,Yes
19,19,268,19,SL18-UCONN-19,GOM,2019,34,5.5,0.4,7.3,2.8,No,No,No
19,19,269,19,SL18-UCONN-19,GOM,2019,80,5,0.5,18,3.5,No,No,No
19,19,270,19,SL18-UCONN-19,GOM,2019,84,7,0.4,21.8,3.5,No,No,No
19,19,271,19,SL18-UCONN-19,GOM,2019,95,6,0.3,20,3.3,No,No,No
19,19,272,19,SL18-UCONN-19,GOM,2019,107,9.5,0.7,17,4.1,No,No,Yes
19,19,273,19,SL18-UCONN-19,GOM,2019,110.5,11.8,0.6,30,4.1,No,No,No
