index WWP DWpM PDW BDns SPdv BLen BMax B10 BThk SLen SDia
NA.341 NA NA NA NA NA NA NA NA NA NA NA NA
NA.342 NA NA NA NA NA NA NA NA NA NA NA NA
NA.343 NA NA NA NA NA NA NA NA NA NA NA NA
NA.344 NA NA NA NA NA NA NA NA NA NA NA NA
NA.345 NA NA NA NA NA NA NA NA NA NA NA NA
NA.346 NA NA NA NA NA NA NA NA NA NA NA NA
NA.347 NA NA NA NA NA NA NA NA NA NA NA NA
NA.348 NA NA NA NA NA NA NA NA NA NA NA NA
NA.349 NA NA NA NA NA NA NA NA NA NA NA NA
NA.350 NA NA NA NA NA NA NA NA NA NA NA NA
NA.351 NA NA NA NA NA NA NA NA NA NA NA NA
NA.352 NA NA NA NA NA NA NA NA NA NA NA NA
NA.353 NA NA NA NA NA NA NA NA NA NA NA NA
NA.354 NA NA NA NA NA NA NA NA NA NA NA NA
NA.355 NA NA NA NA NA NA NA NA NA NA NA NA
NA.356 NA NA NA NA NA NA NA NA NA NA NA NA
NA.357 NA NA NA NA NA NA NA NA NA NA NA NA
NA.358 NA NA NA NA NA NA NA NA NA NA NA NA
NA.359 NA NA NA NA NA NA NA NA NA NA NA NA
NA.360 NA NA NA NA NA NA NA NA NA NA NA NA
NA.361 NA NA NA NA NA NA NA NA NA NA NA NA
NA.362 NA NA NA NA NA NA NA NA NA NA NA NA
NA.363 NA NA NA NA NA NA NA NA NA NA NA NA
NA.364 NA NA NA NA NA NA NA NA NA NA NA NA
NA.365 NA NA NA NA NA NA NA NA NA NA NA NA
NA.366 NA NA NA NA NA NA NA NA NA NA NA NA
NA.367 NA NA NA NA NA NA NA NA NA NA NA NA
NA.368 NA NA NA NA NA NA NA NA NA NA NA NA
NA.369 NA NA NA NA NA NA NA NA NA NA NA NA
NA.370 NA NA NA NA NA NA NA NA NA NA NA NA
NA.371 NA NA NA NA NA NA NA NA NA NA NA NA
NA.372 NA NA NA NA NA NA NA NA NA NA NA NA
NA.373 NA NA NA NA NA NA NA NA NA NA NA NA
NA.374 NA NA NA NA NA NA NA NA NA NA NA NA
NA.375 NA NA NA NA NA NA NA NA NA NA NA NA
NA.376 NA NA NA NA NA NA NA NA NA NA NA NA
NA.377 NA NA NA NA NA NA NA NA NA NA NA NA
NA.378 NA NA NA NA NA NA NA NA NA NA NA NA
NA.379 NA NA NA NA NA NA NA NA NA NA NA NA
NA.380 NA NA NA NA NA NA NA NA NA NA NA NA
NA.381 NA NA NA NA NA NA NA NA NA NA NA NA
NA.382 NA NA NA NA NA NA NA NA NA NA NA NA
NA.383 NA NA NA NA NA NA NA NA NA NA NA NA
NA.384 NA NA NA NA NA NA NA NA NA NA NA NA
NA.385 NA NA NA NA NA NA NA NA NA NA NA NA
NA.386 NA NA NA NA NA NA NA NA NA NA NA NA
NA.387 NA NA NA NA NA NA NA NA NA NA NA NA
NA.388 NA NA NA NA NA NA NA NA NA NA NA NA
NA.389 NA NA NA NA NA NA NA NA NA NA NA NA
NA.390 NA NA NA NA NA NA NA NA NA NA NA NA
NA.391 NA NA NA NA NA NA NA NA NA NA NA NA
NA.392 NA NA NA NA NA NA NA NA NA NA NA NA
NA.393 NA NA NA NA NA NA NA NA NA NA NA NA
